date,PM2.5
2020-01-01,101.0
2020-01-02,94.0
2020-01-03,99.0
2020-01-04,138.0
2020-01-05,134.0
2020-01-06,94.0
2020-01-07,88.0
2020-01-08,109.0
2020-01-09,129.0
2020-01-10,117.0
2020-01-11,108.0
2020-01-12,123.0
2020-01-13,142.0
2020-01-14,151.0
2020-01-15,126.0
2020-01-16,129.0
2020-01-17,122.0
2020-01-18,96.0
2020-01-19,81.0
2020-01-20,114.0
2020-01-21,114.0
2020-01-22,104.0
2020-01-23,111.0
2020-01-24,115.0
2020-01-25,118.0
2020-01-26,110.0
2020-01-27,129.0
2020-01-28,143.0
2020-01-29,138.0
2020-01-30,129.0
2020-01-31,135.0
2020-02-01,144.0
2020-02-02,111.0
2020-02-03,121.0
2020-02-04,104.0
2020-02-05,108.0
2020-02-06,124.0
2020-02-07,137.0
2020-02-08,135.0
2020-02-09,117.0
2020-02-10,103.0
2020-02-11,109.0
2020-02-12,112.0
2020-02-13,116.0
2020-02-14,127.0
2020-02-15,140.0
2020-02-16,112.0
2020-02-17,123.0
2020-02-18,129.0
2020-02-19,132.0
2020-02-20,130.0
2020-02-21,111.0
2020-02-22,112.0
2020-02-23,113.0
2020-02-24,108.0
2020-02-25,123.0
2020-02-26,120.0
2020-02-27,122.0
2020-02-28,133.0
2020-02-29,130.0
2020-03-01,118.0
2020-03-02,142.0
2020-03-03,164.0
2020-03-04,138.0
2020-03-05,146.0
2020-03-06,129.0
2020-03-07,134.0
2020-03-08,120.0
2020-03-09,125.0
2020-03-10,135.0
2020-03-11,116.0
2020-03-12,113.0
2020-03-13,110.0
2020-03-14,115.0
2020-03-15,109.0
2020-03-16,107.0
2020-03-17,94.0
2020-03-18,97.0
2020-03-19,117.0
2020-03-20,135.0
2020-03-21,113.0
2020-03-22,99.0
2020-03-23,128.0
2020-03-24,135.0
2020-03-25,100.0
2020-03-26,99.0
2020-03-27,98.0
2020-03-28,90.0
2020-03-29,107.0
2020-03-30,
2020-03-31,
2020-04-01,95.0
2020-04-02,102.0
2020-04-03,122.0
2020-04-04,123.0
2020-04-05,116.0
2020-04-06,97.0
2020-04-07,72.0
2020-04-08,76.0
2020-04-09,89.0
2020-04-10,100.0
2020-04-11,118.0
2020-04-12,100.0
2020-04-13,101.0
2020-04-14,115.0
2020-04-15,123.0
2020-04-16,100.0
2020-04-17,114.0
2020-04-18,105.0
2020-04-19,101.0
2020-04-20,111.0
2020-04-21,92.0
2020-04-22,100.0
2020-04-23,124.0
2020-04-24,89.0
2020-04-25,98.0
2020-04-26,87.0
2020-04-27,92.0
2020-04-28,98.0
2020-04-29,66.0
2020-04-30,95.0
2020-05-01,104.0
2020-05-02,81.0
2020-05-03,
2020-05-04,
2020-05-05,
2020-05-06,124.0
2020-05-07,130.0
2020-05-08,
2020-05-09,
2020-05-10,
2020-05-11,113.0
2020-05-12,86.0
2020-05-13,84.0
2020-05-14,97.0
2020-05-15,87.0
2020-05-16,96.0
2020-05-17,92.0
2020-05-18,88.0
2020-05-19,130.0
2020-05-20,97.0
2020-05-21,103.0
2020-05-22,89.0
2020-05-23,89.0
2020-05-24,97.0
2020-05-25,87.0
2020-05-26,92.0
2020-05-27,88.0
2020-05-28,85.0
2020-05-29,102.0
2020-05-30,72.0
2020-05-31,93.0
2020-06-01,63.0
2020-06-02,62.0
2020-06-03,60.0
2020-06-04,71.0
2020-06-05,72.0
2020-06-06,86.0
2020-06-07,78.0
2020-06-08,85.0
2020-06-09,93.0
2020-06-10,93.0
2020-06-11,71.0
2020-06-12,74.0
2020-06-13,80.0
2020-06-14,75.0
2020-06-15,102.0
2020-06-16,92.0
2020-06-17,96.0
2020-06-18,107.0
2020-06-19,92.0
2020-06-20,89.0
2020-06-21,79.0
2020-06-22,75.0
2020-06-23,97.0
2020-06-24,89.0
2020-06-25,76.0
2020-06-26,72.0
2020-06-27,82.0
2020-06-28,76.0
2020-06-29,87.0
2020-06-30,66.0
2020-07-01,80.0
2020-07-02,75.0
2020-07-03,62.0
2020-07-04,73.0
2020-07-05,74.0
2020-07-06,76.0
2020-07-07,69.0
2020-07-08,67.0
2020-07-09,68.0
2020-07-10,73.0
2020-07-11,71.0
2020-07-12,61.0
2020-07-13,73.0
2020-07-14,68.0
2020-07-15,65.0
2020-07-16,63.0
2020-07-17,66.0
2020-07-18,68.0
2020-07-19,67.0
2020-07-20,71.0
2020-07-21,60.0
2020-07-22,89.0
2020-07-23,79.0
2020-07-24,68.0
2020-07-25,74.0
2020-07-26,63.0
2020-07-27,71.0
2020-07-28,62.0
2020-07-29,79.0
2020-07-30,69.0
2020-07-31,67.0
2020-08-01,168.0
2020-08-02,55.0
2020-08-03,69.0
2020-08-04,72.0
2020-08-05,69.0
2020-08-06,71.0
2020-08-07,72.0
2020-08-08,71.0
2020-08-09,63.0
2020-08-10,74.0
2020-08-11,79.0
2020-08-12,80.0
2020-08-13,81.0
2020-08-14,83.0
2020-08-15,73.0
2020-08-16,76.0
2020-08-17,77.0
2020-08-18,74.0
2020-08-19,79.0
2020-08-20,78.0
2020-08-21,81.0
2020-08-22,88.0
2020-08-23,78.0
2020-08-24,86.0
2020-08-25,71.0
2020-08-26,90.0
2020-08-27,59.0
2020-08-28,80.0
2020-08-29,99.0
2020-08-30,116.0
2020-08-31,108.0
2020-09-01,183.0
2020-09-02,188.0
2020-09-03,70.0
2020-09-04,79.0
2020-09-05,97.0
2020-09-06,85.0
2020-09-07,64.0
2020-09-08,57.0
2020-09-09,74.0
2020-09-10,58.0
2020-09-11,73.0
2020-09-12,65.0
2020-09-13,61.0
2020-09-14,58.0
2020-09-15,66.0
2020-09-16,71.0
2020-09-17,61.0
2020-09-18,56.0
2020-09-19,58.0
2020-09-20,53.0
2020-09-21,56.0
2020-09-22,68.0
2020-09-23,67.0
2020-09-24,72.0
2020-09-25,71.0
2020-09-26,68.0
2020-09-27,59.0
2020-09-28,
2020-09-29,66.0
2020-09-30,63.0
2020-10-01,73.0
2020-10-02,69.0
2020-10-03,71.0
2020-10-04,59.0
2020-10-05,67.0
2020-10-06,79.0
2020-10-07,84.0
2020-10-08,89.0
2020-10-09,92.0
2020-10-10,64.0
2020-10-11,61.0
2020-10-12,68.0
2020-10-13,67.0
2020-10-14,66.0
2020-10-15,68.0
2020-10-16,97.0
2020-10-17,93.0
2020-10-18,88.0
2020-10-19,128.0
2020-10-20,81.0
2020-10-21,155.0
2020-10-22,76.0
2020-10-23,110.0
2020-10-24,75.0
2020-10-25,98.0
2020-10-26,83.0
2020-10-27,107.0
2020-10-28,103.0
2020-10-29,106.0
2020-10-30,105.0
2020-10-31,129.0
2020-11-01,119.0
2020-11-02,138.0
2020-11-03,115.0
2020-11-04,100.0
2020-11-05,126.0
2020-11-06,194.0
2020-11-07,66.0
2020-11-08,73.0
2020-11-09,91.0
2020-11-10,86.0
2020-11-11,91.0
2020-11-12,93.0
2020-11-13,74.0
2020-11-14,69.0
2020-11-15,73.0
2020-11-16,73.0
2020-11-17,74.0
2020-11-18,69.0
2020-11-19,79.0
2020-11-20,72.0
2020-11-21,69.0
2020-11-22,76.0
2020-11-23,91.0
2020-11-24,82.0
2020-11-25,67.0
2020-11-26,59.0
